"","x"
"1",1110.264
"2",1000.147
"3",936.1035
"4",891.2285
"5",852.7135
"6",818.8285
"7",788.8125
"8",761.7995
"9",736.993
"10",712.871
"11",688.64
"12",664.73
"13",641.3915
"14",618.3815
"15",595.238
"16",572.665
"17",551.4595
"18",531.671
"19",513.3035
"20",495.826
"21",478.681
"22",462.57
"23",447.358
"24",432.088
"25",417.79
"26",404.591
"27",391.9405
"28",378.9855
"29",366.3505
"30",354.446
"31",345.88
"32",342.525
"33",342.2515
"34",338.8195
"35",329.8835
"36",319.2965
"37",307.989
"38",296.5325
"39",285.362
"40",274.7335
"41",264.75
"42",255.4505
"43",246.112
"44",236.153
"45",226.17
"46",216.8145
"47",208.1065
"48",199.686
"49",191.393
"50",183.3045
"51",175.5365
"52",168.106
"53",160.799
"54",153.509
"55",146.332
"56",139.374
"57",132.5975
"58",126.0445
"59",119.83
"60",113.842
"61",107.926
"62",102.098
"63",96.371
"64",90.6785
"65",85.06
"66",79.58
"67",74.23
"68",68.963
"69",63.777
"70",58.686
"71",53.721
"72",48.896
"73",44.242
"74",39.7985
"75",35.571
"76",31.558
"77",27.7735
"78",24.228
"79",20.9215
"80",17.8675
"81",15.0735
"82",12.5435
"83",10.311
"84",8.39
"85",6.742
"86",5.338
"87",4.1665
"88",3.1855
"89",2.369
"90",1.7185
"91",1.226
"92",0.862
"93",0.601
"94",0.422
"95",0.3005
"96",0.218
"97",0.1645
"98",0.129
"99",0.107
"100",0.0935
"101",0.14
